index,Diện tích,Dài,Rộng,Giá/m2,Ngày
2.0,40 m²,10 m,4 m,65 triệu/m²,2020_08_05
3.0,51 m²,12.75 m,4 m,100 triệu/m²,2020_08_05
4.0,36 m²,9 m,4 m,"86,11 triệu/m²",2020_08_05
5.0,46 m²,12.1 m,3.8 m,"104,35 triệu/m²",2020_08_05
8.0,75 m²,12 m,6.5 m,120 triệu/m²,2020_08_05
12.0,52 m²,13 m,4 m,"93,27 triệu/m²",2020_08_05
14.0,52.8 m²,15.2 m,3.9 m,75 triệu/m²,2020_08_05
15.0,52 m²,12 m,4.2 m,"93,27 triệu/m²",2020_08_05
24.0,90 m²,18 m,5 m,"108,89 triệu/m²",2020_08_05
28.0,45 m²,12 m,4.2 m,"133,33 triệu/m²",2020_08_05
29.0,32 m²,6.6 m,4.5 m,"60,94 triệu/m²",2020_08_05
32.0,42 m²,10 m,4.5 m,"58,33 triệu/m²",2020_08_05
34.0,42 m²,11 m,4 m,"29,76 triệu/m²",2020_08_05
35.0,46 m²,9 m,5 m,"80,43 triệu/m²",2020_08_05
37.0,43 m²,11 m,4 m,50 triệu/m²,2020_08_05
41.0,38 m²,10 m,3 m,"68,42 triệu/m²",2020_08_05
42.0,35 m²,9 m,4 m,"55,71 triệu/m²",2020_08_05
44.0,33 m²,9 m,4 m,"80,3 triệu/m²",2020_08_05
48.0,200 m²,22 m,9 m,"47,25 triệu/m²",2020_08_04
54.0,51 m²,6.6 m,3.5 m,"62,75 triệu/m²",2020_08_04
56.0,70 m²,17 m,4 m,"114,29 triệu/m²",2020_08_04
58.0,30 m²,10 m,3 m,"61,67 triệu/m²",2020_08_04
61.0,36 m²,9 m,4 m,"59,72 triệu/m²",2020_08_04
63.0,77 m²,17 m,4 m,"2,08 triệu/m²",2020_08_04
66.0,34 m²,8.5 m,4 m,"104,41 triệu/m²",2020_08_04
68.0,30 m²,9 m,3.4 m,"82,67 triệu/m²",2020_08_04
70.0,18 m²,6 m,3.2 m,"105,56 triệu/m²",2020_08_04
71.0,33 m²,11 m,3 m,"136,36 triệu/m²",2020_08_04
74.0,32 m²,8 m,4 m,"81,25 triệu/m²",2020_08_04
76.0,32 m²,11 m,3.2 m,"89,06 triệu/m²",2020_08_04
77.0,81 m²,22.5 m,3.6 m,"39,51 triệu/m²",2020_08_04
78.0,20 m²,6.5 m,3 m,"97,5 triệu/m²",2020_08_04
85.0,28 m²,7 m,3.9 m,100 triệu/m²,2020_08_04
91.0,38 m²,9.5 m,4 m,"131,58 triệu/m²",2020_08_04
92.0,49 m²,20 m,53 m,"80,61 triệu/m²",2020_08_04
94.0,55 m²,9.2 m,6 m,60 triệu/m²,2020_08_04
95.0,30 m²,4 m,7.55 m,"118,33 triệu/m²",2020_08_04
96.0,37 m²,10 m,3.7 m,"53,51 triệu/m²",2020_08_04
98.0,45 m²,10 m,4.5 m,"71,11 triệu/m²",2020_08_04
102.0,11 m²,3 m,4 m,"131,82 triệu/m²",2020_08_04
104.0,21 m²,7 m,3 m,100 triệu/m²,2020_08_04
109.0,75 m²,20 m,6 m,"393,33 triệu/m²",2020_08_04
110.0,55 m²,11 m,5 m,"118,18 triệu/m²",2020_08_04
111.0,35 m²,9 m,4 m,"71,43 triệu/m²",2020_08_04
114.0,30 m²,9 m,3.5 m,"71,67 triệu/m²",2020_08_04
120.0,30 m²,9 m,3.2 m,60 triệu/m²,2020_08_04
121.0,120 m²,50 m,6 m,"246,67 triệu/m²",2020_08_04
128.0,25 m²,7 m,3.6 m,96 triệu/m²,2020_08_04
137.0,40 m²,10 m,4 m,50 triệu/m²,2020_08_04
138.0,33 m²,9.5 m,3.5 m,"65,15 triệu/m²",2020_08_04
143.0,30 m²,7 m,4 m,"28,33 triệu/m²",2020_08_04
144.0,36 m²,10 m,3 m,"138,89 triệu/m²",2020_08_04
146.0,81 m²,22.5 m,3.6 m,"39,51 triệu/m²",2020_08_04
150.0,27 m²,8.7 m,3.1 m,"166,67 triệu/m²",2020_08_04
151.0,45 m²,9 m,4 m,"64,44 triệu/m²",2020_08_04
152.0,30 m²,7 m,4.55 m,95 triệu/m²,2020_08_04
162.0,33 m²,10 m,3.3 m,"130,3 triệu/m²",2020_08_04
164.0,36 m²,12 m,3 m,"55,22 triệu/m²",2020_08_04
170.0,62 m²,17 m,3.6 m,"282,26 triệu/m²",2020_08_04
171.0,35 m²,8.75 m,4 m,"68,57 triệu/m²",2020_08_04
182.0,55 m²,15 m,4 m,"54,55 triệu/m²",2020_08_04
183.0,60 m²,15 m,4 m,"83,33 triệu/m²",2020_08_04
186.0,36 m²,9 m,4 m,"76,39 triệu/m²",2020_08_04
189.0,45 m²,13 m,3.4 m,"122,22 triệu/m²",2020_08_04
191.0,35 m²,10 m,3.5 m,"82,86 triệu/m²",2020_08_04
193.0,60 m²,8 m,8 m,"483,33 triệu/m²",2020_08_04
201.0,30 m²,8.04 m,3.73 m,"51,67 triệu/m²",2020_08_04
202.0,32 m²,8 m,4 m,"85,94 triệu/m²",2020_08_04
206.0,58 m²,16.57 m,3.5 m,"71,55 triệu/m²",2020_08_04
207.0,42 m²,4 m,9 m,"154,76 triệu/m²",2020_08_04
208.0,32.1 m²,9.72 m,3.3 m,50 triệu/m²,2020_08_04
209.0,60 m²,15 m,4 m,"41,67 triệu/m²",2020_08_04
218.0,32 m²,8 m,4 m,"56,25 triệu/m²",2020_08_04
219.0,37 m²,11 m,3.7 m,"116,22 triệu/m²",2020_08_04
229.0,23 m²,8 m,3 m,"82,61 triệu/m²",2020_08_04
234.0,40 m²,4 m,4 m,140 triệu/m²,2020_08_04
239.0,92 m²,18 m,5.6 m,"146,74 triệu/m²",2020_08_04
249.0,47 m²,11.7 m,4 m,"102,13 triệu/m²",2020_08_04
254.0,43 m²,11 m,4 m,"90,7 triệu/m²",2020_08_04
260.0,56 m²,15 m,4 m,"81,25 triệu/m²",2020_08_04
266.0,30 m²,7.5 m,4 m,75 triệu/m²,2020_08_04
278.0,44 m²,12 m,4 m,"154,55 triệu/m²",2020_08_04
279.0,30 m²,10 m,3.2 m,95 triệu/m²,2020_08_04
280.0,37 m²,9 m,4 m,"67,57 triệu/m²",2020_08_04
284.0,56 m²,9 m,6 m,"130,36 triệu/m²",2020_08_04
